,title,page_link,writer,script_link,script_downloaded
72,American Shaolin: King of Kickboxers II,https://imsdb.com/Movie%20Scripts/American%20Shaolin:%20King%20of%20Kickboxers%20II%20Script.html,Written by Keith Strandburg,https://imsdb.com/scripts/American-Shaolin-King-of-Kickboxers-II.html,Yes
73,American Sniper,https://imsdb.com/Movie%20Scripts/American%20Sniper%20Script.html,Written by Jason Hall,https://imsdb.com/scripts/American-Sniper.html,Yes
74,American Splendor,https://imsdb.com/Movie%20Scripts/American%20Splendor%20Script.html,"Written by Robert Pulcini,Shari Springer Berman",https://imsdb.com/scripts/American-Splendor.html,Yes
75,American Werewolf in London,https://imsdb.com/Movie%20Scripts/American%20Werewolf%20in%20London%20Script.html,Written by John Landis,https://imsdb.com/scripts/American-Werewolf-in-London.html,Yes
76,"American, The","https://imsdb.com/Movie%20Scripts/American,%20The%20Script.html",Written by Rowan Joffe,"https://imsdb.com/scripts/American,-The.html",Yes
77,"Amityville Asylum, The","https://imsdb.com/Movie%20Scripts/Amityville%20Asylum,%20The%20Script.html",Written by Andrew Jones,"https://imsdb.com/scripts/Amityville-Asylum,-The.html",Yes
78,Amour,https://imsdb.com/Movie%20Scripts/Amour%20Script.html,Written by Michael Haneke,https://imsdb.com/scripts/Amour.html,Yes
79,An Education,https://imsdb.com/Movie%20Scripts/An%20Education%20Script.html,"Written by Nick Hornby,Lynn Barber",https://imsdb.com/scripts/An-Education.html,Yes
80,Analyze That,https://imsdb.com/Movie%20Scripts/Analyze%20That%20Script.html,"Written by Peter Steinfeld,Harold Ramis,Peter Tolan,Kenneth Longeran",https://imsdb.com/scripts/Analyze-That.html,Yes
81,Analyze This,https://imsdb.com/Movie%20Scripts/Analyze%20This%20Script.html,"Written by Peter Tolan,Harold Ramis,Kenneth Lonergan",https://imsdb.com/scripts/Analyze-This.html,Yes
82,Anastasia,https://imsdb.com/Movie%20Scripts/Anastasia%20Script.html,"Written by Susan Gauthier,Bruce Graham",https://imsdb.com/scripts/Anastasia.html,Yes
83,Angel Eyes,https://imsdb.com/Movie%20Scripts/Angel%20Eyes%20Script.html,Written by Gerald DiPego,https://imsdb.com/scripts/Angel-Eyes.html,Yes
84,Angels & Demons,https://imsdb.com/Movie%20Scripts/Angels%20&%20Demons%20Script.html,"Written by David Koepp,Akiva Goldsman",https://imsdb.com/scripts/,No
85,Anna Karenina,https://imsdb.com/Movie%20Scripts/Anna%20Karenina%20Script.html,Written by Tom Stoppard,https://imsdb.com/scripts/Anna-Karenina.html,Yes
86,Annie Hall,https://imsdb.com/Movie%20Scripts/Annie%20Hall%20Script.html,"Written by Woody Allen,Marshall Brickman",https://imsdb.com/scripts/Annie-Hall.html,Yes
87,"Anniversary Party, The","https://imsdb.com/Movie%20Scripts/Anniversary%20Party,%20The%20Script.html","Written by Alan Cummings,Jennifer Jason Leigh","https://imsdb.com/scripts/Anniversary-Party,-The.html",Yes
88,Anonymous,https://imsdb.com/Movie%20Scripts/Anonymous%20Script.html,Written by John Orloff,https://imsdb.com/scripts/Anonymous.html,Yes
89,Antitrust,https://imsdb.com/Movie%20Scripts/Antitrust%20Script.html,Written by Howard Franklin,https://imsdb.com/scripts/Antitrust.html,Yes
90,Antz,https://imsdb.com/Movie%20Scripts/Antz%20Script.html,"Written by Todd Alcott,Chris Weitz,Paul Weitz",https://imsdb.com/scripts/Antz.html,Yes
91,"Apartment, The","https://imsdb.com/Movie%20Scripts/Apartment,%20The%20Script.html","Written by Billy Wilder,I.A.L Diamond","https://imsdb.com/scripts/Apartment,-The.html",Yes
92,Apocalypse Now,https://imsdb.com/Movie%20Scripts/Apocalypse%20Now%20Script.html,"Written by Francis Ford Coppola,John Milius,Joseph Conrad",https://imsdb.com/scripts/Apocalypse-Now.html,Yes
93,Apollo 13,https://imsdb.com/Movie%20Scripts/Apollo%2013%20Script.html,"Written by Jim Lovell,Jeffrey Kluger,William Broyles Jr.,Al Reinert",https://imsdb.com/scripts/Apollo-13.html,Yes
94,April Fool's Day,https://imsdb.com/Movie%20Scripts/April%20Fool's%20Day%20Script.html,Written by Danilo Bach,https://imsdb.com/scripts/April-Fool's-Day.html,Yes
95,Apt Pupil,https://imsdb.com/Movie%20Scripts/Apt%20Pupil%20Script.html,Written by Brandon Boyce,https://imsdb.com/scripts/Apt-Pupil.html,Yes
